,Year,HH_LGA_ID,HH_LGA_NAME,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE (km),TRIP_AVG_TIME (mins)
107,2023,4400,Kiama,vehicle passenger*,15000,19.0,20.3,149000,17.6,9.8,14.5
108,2023,4400,Kiama,walk linked*,5000,6.3,,3000,0.3,0.5,6.1
109,2023,4400,Kiama,walk only*,13000,16.1,17.1,11000,1.3,0.9,12.4
110,2023,4500,Ku-ring-gai,other,8000,1.2,1.4,79000,1.8,10.1,29.1
111,2023,4500,Ku-ring-gai,public transport,68000,10.2,11.9,774000,17.6,11.4,22.0
112,2023,4500,Ku-ring-gai,vehicle driver,274000,41.2,47.8,2236000,50.9,8.2,16.9
113,2023,4500,Ku-ring-gai,vehicle passenger,127000,19.1,22.2,1149000,26.2,9.1,15.5
114,2023,4500,Ku-ring-gai,walk linked,92000,13.8,,63000,1.4,0.7,9.4
115,2023,4500,Ku-ring-gai,walk only,96000,14.5,16.8,92000,2.1,1.0,14.2
116,2023,4650,Lake Macquarie,other*,6000,0.8,0.8,30000,0.4,5.0,14.3
117,2023,4650,Lake Macquarie,public transport*,32000,4.2,4.6,575000,7.6,18.1,30.4
118,2023,4650,Lake Macquarie,vehicle driver,405000,53.4,58.3,4748000,62.5,11.7,18.4
119,2023,4650,Lake Macquarie,vehicle passenger,163000,21.5,23.5,2091000,27.5,12.8,19.8
120,2023,4650,Lake Macquarie,walk linked,63000,8.3,,83000,1.1,1.3,17.4
121,2023,4650,Lake Macquarie,walk only,89000,11.8,12.8,74000,1.0,0.8,17.5
122,2023,4700,Lane Cove,other*,4000,1.9,2.2,25000,2.2,6.1,26.4
123,2023,4700,Lane Cove,public transport,19000,8.8,10.0,136000,11.9,7.3,22.9
